popularity,name,date,url,img
88.7萬,身為魔王的我娶了奴隸精靈為妻，該如何表白我的愛？,2024/04,https://ani.gamer.com.tw/animeRef.php?sn=113503,https://p2.bahamut.com.tw/B/ACG/c/41/0000128241.JPG
64萬,從 Lv2 開始開外掛的前勇者候補過著悠哉異世界生活,2024/04,https://ani.gamer.com.tw/animeRef.php?sn=113490,https://p2.bahamut.com.tw/B/ACG/c/38/0000136038.JPG
46.8萬,老夫老妻重返青春,2024/04,https://ani.gamer.com.tw/animeRef.php?sn=113527,https://p2.bahamut.com.tw/B/ACG/c/35/0000134735.JPG
29萬,夜櫻家大作戰,2024/04,https://ani.gamer.com.tw/animeRef.php?sn=113492,https://p2.bahamut.com.tw/B/ACG/c/01/0000129301.JPG
27.4萬,單人房、日照一般、附天使。,2024/04,https://ani.gamer.com.tw/animeRef.php?sn=113519,https://p2.bahamut.com.tw/B/ACG/c/79/0000135879.JPG
20.3萬,約會大作戰 DATE A LIVE V,2024/04,https://ani.gamer.com.tw/animeRef.php?sn=113499,https://p2.bahamut.com.tw/B/ACG/c/70/0000125370.JPG
19萬,我內心的糟糕念頭 第二季,2024/01,https://ani.gamer.com.tw/animeRef.php?sn=113460,https://p2.bahamut.com.tw/B/ACG/c/22/0000133422.JPG
14.5萬,恰如細語般的戀歌,2024/04,https://ani.gamer.com.tw/animeRef.php?sn=113510,https://p2.bahamut.com.tw/B/ACG/c/23/0000129623.JPG
11.8萬,四月是你的謊言,2014/10,https://ani.gamer.com.tw/animeRef.php?sn=112644,https://p2.bahamut.com.tw/B/ACG/c/38/0000068438.JPG
11.4萬,輪迴七次的惡役千金，在前敵國享受隨心所欲的新婚生活,2024/01,https://ani.gamer.com.tw/animeRef.php?sn=113441,https://p2.bahamut.com.tw/B/ACG/c/39/0000134939.JPG
10.2萬,我內心的糟糕念頭,2023/04,https://ani.gamer.com.tw/animeRef.php?sn=113246,https://p2.bahamut.com.tw/B/ACG/c/56/0000126156.JPG
8萬,花野井同學與戀愛病,2024/04,https://ani.gamer.com.tw/animeRef.php?sn=113497,https://p2.bahamut.com.tw/B/ACG/c/68/0000133068.JPG
7萬,她來自煩星 第二季,2024/01,https://ani.gamer.com.tw/animeRef.php?sn=113453,https://p2.bahamut.com.tw/B/ACG/c/57/0000131157.JPG
6.5萬,如果 30 歲還是處男，似乎就能成為魔法師,2024/01,https://ani.gamer.com.tw/animeRef.php?sn=113443,https://p2.bahamut.com.tw/B/ACG/c/91/0000134091.JPG
6.2萬,約會大作戰 DATE A LIVE,2013/04,https://ani.gamer.com.tw/animeRef.php?sn=53062,https://p2.bahamut.com.tw/B/ACG/c/62/0000053062.JPG
5.8萬,魔法咪路咪路,2002/04,https://ani.gamer.com.tw/animeRef.php?sn=113036,https://p2.bahamut.com.tw/B/ACG/c/49/0000000149.JPG
5.7萬,指尖相觸，戀戀不捨,2024/01,https://ani.gamer.com.tw/animeRef.php?sn=113440,https://p2.bahamut.com.tw/B/ACG/c/96/0000133896.JPG
5.5萬,和山田談場 Lv999 的戀愛,2023/04,https://ani.gamer.com.tw/animeRef.php?sn=113244,https://p2.bahamut.com.tw/B/ACG/c/07/0000127607.JPG
5.2萬,死神少爺與黑女僕 第三季,2024/04,https://ani.gamer.com.tw/animeRef.php?sn=113529,https://p2.bahamut.com.tw/B/ACG/c/44/0000135744.JPG
5.2萬,愚蠢天使與惡魔共舞,2024/01,https://ani.gamer.com.tw/animeRef.php?sn=113454,https://p2.bahamut.com.tw/B/ACG/c/88/0000131988.JPG
4.9萬,堀與宮村,2021/01,https://ani.gamer.com.tw/animeRef.php?sn=112566,https://p2.bahamut.com.tw/B/ACG/c/57/0000113757.JPG
4.8萬,女王的手術刀,2024/01,https://ani.gamer.com.tw/animeRef.php?sn=113465,https://p2.bahamut.com.tw/B/ACG/c/48/0000130648.JPG
4.3萬,星際莊的戀愛日記,2024/04,https://ani.gamer.com.tw/animeRef.php?sn=113526,https://p2.bahamut.com.tw/B/ACG/c/15/0000136715.JPG
3.9萬,堀與宮村 -piece-,2023/07,https://ani.gamer.com.tw/animeRef.php?sn=113300,https://p2.bahamut.com.tw/B/ACG/c/50/0000131250.JPG
3.8萬,婚戒物語,2024/01,https://ani.gamer.com.tw/animeRef.php?sn=113445,https://p2.bahamut.com.tw/B/ACG/c/83/0000129683.JPG
3.6萬,約會大作戰 DATE A LIVE III,2019/01,https://ani.gamer.com.tw/animeRef.php?sn=92148,https://p2.bahamut.com.tw/B/ACG/c/48/0000092148.JPG
3萬,戀上換裝娃娃,2022/01,https://ani.gamer.com.tw/animeRef.php?sn=112953,https://p2.bahamut.com.tw/B/ACG/c/01/0000117001.JPG
2.7萬,死神少爺與黑女僕,2021/07,https://ani.gamer.com.tw/animeRef.php?sn=112756,https://p2.bahamut.com.tw/B/ACG/c/21/0000115721.JPG
