popularity,name,date,url,img
103.5萬,關於我轉生變成史萊姆這檔事 第三季,2024/03,https://ani.gamer.com.tw/animeRef.php?sn=113489,https://p2.bahamut.com.tw/B/ACG/c/14/0000128514.JPG
96萬,無職轉生～到了異世界就拿出真本事 第二季,2023/07,https://ani.gamer.com.tw/animeRef.php?sn=113275,https://p2.bahamut.com.tw/B/ACG/c/75/0000129175.JPG
35.4萬,我獨自升級,2024/01,https://ani.gamer.com.tw/animeRef.php?sn=113458,https://p2.bahamut.com.tw/B/ACG/c/45/0000125545.JPG
29.3萬,香格里拉・開拓異境～糞作獵手挑戰神作～,2023/10,https://ani.gamer.com.tw/animeRef.php?sn=113380,https://p2.bahamut.com.tw/B/ACG/c/04/0000125604.JPG
17.8萬,不死不運,2023/10,https://ani.gamer.com.tw/animeRef.php?sn=113370,https://p2.bahamut.com.tw/B/ACG/c/81/0000126781.JPG
17.6萬,無職轉生，到了異世界就拿出真本事,2021/01,https://ani.gamer.com.tw/animeRef.php?sn=112541,https://p2.bahamut.com.tw/B/ACG/c/83/0000104483.JPG
16.1萬,獵人 Hunter x Hunter,2011/10,https://ani.gamer.com.tw/animeRef.php?sn=50007,https://p2.bahamut.com.tw/B/ACG/c/07/0000050007.JPG
12.5萬,關於我轉生變成史萊姆這檔事,2018/10,https://ani.gamer.com.tw/animeRef.php?sn=94601,https://p2.bahamut.com.tw/B/ACG/c/01/0000094601.JPG
11.8萬,FAIRY TAIL 魔導少年,2009/10,https://ani.gamer.com.tw/animeRef.php?sn=30960,https://p2.bahamut.com.tw/B/ACG/c/60/0000030960.JPG
10.2萬,魔都精兵的奴隸,2024/01,https://ani.gamer.com.tw/animeRef.php?sn=113451,https://p2.bahamut.com.tw/B/ACG/c/71/0000120671.JPG
8.1萬,黑色五葉草,2017/10,https://ani.gamer.com.tw/animeRef.php?sn=84866,https://p2.bahamut.com.tw/B/ACG/c/66/0000084866.JPG
7.3萬,火影忍者,2002/10,https://ani.gamer.com.tw/animeRef.php?sn=112421,https://p2.bahamut.com.tw/B/ACG/c/24/0000000124.JPG
6.4萬,我想成為影之強者！第二季,2023/10,https://ani.gamer.com.tw/animeRef.php?sn=113395,https://p2.bahamut.com.tw/B/ACG/c/38/0000130538.JPG
5.4萬,進擊的巨人 The Final Season,2020/12,https://ani.gamer.com.tw/animeRef.php?sn=112522,https://p2.bahamut.com.tw/B/ACG/c/74/0000106374.JPG
5.1萬,刀劍神域 Sword Art Online,2012/07,https://ani.gamer.com.tw/animeRef.php?sn=52206,https://p2.bahamut.com.tw/B/ACG/c/06/0000052206.JPG
4.7萬,黑暗集會,2023/07,https://ani.gamer.com.tw/animeRef.php?sn=113276,https://p2.bahamut.com.tw/B/ACG/c/37/0000128537.JPG
4.1萬,NO GAME NO LIFE 遊戲人生,2014/04,https://ani.gamer.com.tw/animeRef.php?sn=63284,https://p2.bahamut.com.tw/B/ACG/c/84/0000063284.JPG
3.8萬,進擊的巨人,2013/04,https://ani.gamer.com.tw/animeRef.php?sn=59221,https://p2.bahamut.com.tw/B/ACG/c/21/0000059221.JPG
3.7萬,慕留人 - 火影新世代 -,2017/04,https://ani.gamer.com.tw/animeRef.php?sn=86598,https://p2.bahamut.com.tw/B/ACG/c/98/0000086598.JPG
3.6萬,屍體如山的死亡遊戲,2023/04,https://ani.gamer.com.tw/animeRef.php?sn=113255,https://p2.bahamut.com.tw/B/ACG/c/17/0000128617.JPG
3.4萬,進擊的巨人 第三季,2018/07,https://ani.gamer.com.tw/animeRef.php?sn=89557,https://p2.bahamut.com.tw/B/ACG/c/57/0000089557.PNG
3.4萬,鬼滅之刃 刀匠村篇,2023/04,https://ani.gamer.com.tw/animeRef.php?sn=113254,https://p2.bahamut.com.tw/B/ACG/c/87/0000122787.JPG
3萬,Re：從零開始的異世界生活 第二季,2020/07,https://ani.gamer.com.tw/animeRef.php?sn=104687,https://p2.bahamut.com.tw/B/ACG/c/87/0000104687.JPG
2.9萬,刀劍神域 Sword Art Online 第二季,2014/07,https://ani.gamer.com.tw/animeRef.php?sn=66635,https://p2.bahamut.com.tw/B/ACG/c/35/0000066635.JPG
2.9萬,Dr.STONE 新石紀 第三季,2023/04,https://ani.gamer.com.tw/animeRef.php?sn=113251,https://p2.bahamut.com.tw/B/ACG/c/02/0000125702.JPG
2.8萬,Re：從零開始的異世界生活 新編集版,2020/01,https://ani.gamer.com.tw/animeRef.php?sn=109286,https://p2.bahamut.com.tw/B/ACG/c/86/0000109286.JPG
2.4萬,在地下城尋求邂逅是否搞錯了什麼 第四季,2023/01,https://ani.gamer.com.tw/animeRef.php?sn=113077,https://p2.bahamut.com.tw/B/ACG/c/81/0000115681.JPG
2.3萬,鋼之鍊金術師 2003,2003/10,https://ani.gamer.com.tw/animeRef.php?sn=227,https://p2.bahamut.com.tw/B/ACG/c/27/0000000227.JPG
